message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=5.401571, y=-0.017579])";"30";"turtlesim3.sim";"1758257031.052755333";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.401571, y=-0.017579])";"30";"turtlesim2.sim";"1758257031.038615053";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.428310, y=-0.017579])";"30";"turtlesim3.sim";"1758257031.036408037";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.428310, y=-0.017579])";"30";"turtlesim2.sim";"1758257031.023103281";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.455049, y=-0.017579])";"30";"turtlesim3.sim";"1758257031.020415227";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.401571, y=-0.017579])";"30";"turtlesim1.sim";"1758257031.020205614";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.455049, y=-0.017579])";"30";"turtlesim2.sim";"1758257031.006559492";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.428310, y=-0.017579])";"30";"turtlesim1.sim";"1758257031.004420947";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.481788, y=-0.017579])";"30";"turtlesim3.sim";"1758257031.004014871";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.481788, y=-0.017579])";"30";"turtlesim2.sim";"1758257030.990864017";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.749176, y=-0.017579])";"30";"turtlesim2.sim";"1758257030.830542739";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.775915, y=-0.017579])";"30";"turtlesim3.sim";"1758257030.828961543";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=5.722437, y=-0.017579])";"30";"turtlesim1.sim";"1758257030.828840111";"/home/nikelau/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
